Symbol,Name,Timeframe,Category,Trades,PnL,PnL %,Win Rate %,Wins,Losses,Period,Updated
HCLTECH.NS,HCLTECH,5 Minutes,STOCK,0,0.0,0.0,0.0,0,0,5d,2026-05-22 14:56:15
ONGC.NS,ONGC,5 Minutes,STOCK,1,6.6,1.11,100.0,1,0,5d,2026-05-22 14:56:16
IOC.NS,IOC,5 Minutes,STOCK,1,4.08,1.5,100.0,1,0,5d,2026-05-22 14:56:17
BPCL.NS,BPCL,5 Minutes,STOCK,1,7.9,1.37,100.0,1,0,5d,2026-05-22 14:56:18
NTPC.NS,NTPC,5 Minutes,STOCK,1,2.7,0.35,100.0,1,0,5d,2026-05-22 14:56:19
M&M.NS,M&M,5 Minutes,STOCK,2,101.3,1.09,100.0,2,0,5d,2026-05-22 14:56:19
MARUTI.NS,MARUTI,5 Minutes,STOCK,0,0.0,0.0,0.0,0,0,5d,2026-05-22 14:56:20
BAJAJ-AUTO.NS,BAJAJ-AUTO,5 Minutes,STOCK,2,257.5,1.27,100.0,2,0,5d,2026-05-22 14:56:21
HEROMOTOCO.NS,HEROMOTOCO,5 Minutes,STOCK,1,84.5,1.72,100.0,1,0,5d,2026-05-22 14:56:22
POWERGRID.NS,POWERGRID,5 Minutes,STOCK,2,9.55,1.08,100.0,2,0,5d,2026-05-22 14:56:23
DRREDDY.NS,DRREDDY,5 Minutes,STOCK,2,8.4,0.32,50.0,1,1,5d,2026-05-22 14:56:24
SUNPHARMA.NS,SUNPHARMA,5 Minutes,STOCK,0,0.0,0.0,0.0,0,0,5d,2026-05-22 14:56:24
EICHERMOT.NS,EICHERMOT,5 Minutes,STOCK,1,198.5,2.93,100.0,1,0,5d,2026-05-22 14:56:25
CIPLA.NS,CIPLA,5 Minutes,STOCK,0,0.0,0.0,0.0,0,0,5d,2026-05-22 14:56:26
APOLLOHOSP.NS,APOLLOHOSP,5 Minutes,STOCK,1,71.0,0.88,100.0,1,0,5d,2026-05-22 14:56:27
DIVISLAB.NS,DIVISLAB,5 Minutes,STOCK,1,5.5,0.08,100.0,1,0,5d,2026-05-22 14:56:28
ITC.NS,ITC,5 Minutes,STOCK,1,-0.65,-0.11,0.0,0,1,5d,2026-05-22 14:56:29
HINDUNILVR.NS,HINDUNILVR,5 Minutes,STOCK,1,-54.8,-2.44,0.0,0,1,5d,2026-05-22 14:56:29
TATASTEEL.NS,TATASTEEL,5 Minutes,STOCK,1,-3.9,-1.86,0.0,0,1,5d,2026-05-22 14:56:29
BRITANNIA.NS,BRITANNIA,5 Minutes,STOCK,1,-6.5,-0.12,0.0,0,1,5d,2026-05-22 14:56:29
VEDL.NS,VEDL,5 Minutes,STOCK,0,0.0,0.0,0.0,0,0,5d,2026-05-22 14:56:29
HINDALCO.NS,HINDALCO,5 Minutes,STOCK,2,53.7,2.52,100.0,2,0,5d,2026-05-22 14:56:29
SIEMENS.NS,SIEMENS,5 Minutes,STOCK,2,59.9,0.85,100.0,2,0,5d,2026-05-22 14:56:29
NESTLEIND.NS,NESTLEIND,5 Minutes,STOCK,1,-13.6,-0.95,0.0,0,1,5d,2026-05-22 14:56:29
^NSEBANK,BANK NIFTY,15 Minutes,INDEX,2,-1848.5,-1.66,0.0,0,2,1mo,2026-05-22 15:01:01
^BSESN,SENSEX,15 Minutes,INDEX,3,496.49,0.22,33.3,1,2,1mo,2026-05-22 15:01:01
^NSEI,NIFTY 50,15 Minutes,INDEX,3,271.3,0.38,66.7,2,1,1mo,2026-05-22 15:01:01
HDFCBANK.NS,HDFCBANK,15 Minutes,STOCK,3,28.25,1.22,100.0,3,0,1mo,2026-05-22 15:01:02
ICICIBANK.NS,ICICIBANK,15 Minutes,STOCK,2,-63.9,-2.45,50.0,1,1,1mo,2026-05-22 15:01:02
KOTAKBANK.NS,KOTAKBANK,15 Minutes,STOCK,2,-0.85,-0.11,50.0,1,1,1mo,2026-05-22 15:01:02
SBIN.NS,SBIN,15 Minutes,STOCK,2,42.0,1.32,100.0,2,0,1mo,2026-05-22 15:01:02
INDUSINDBK.NS,INDUSINDBK,15 Minutes,STOCK,3,30.45,1.13,66.7,2,1,1mo,2026-05-22 15:01:03
BAJFINANCE.NS,BAJFINANCE,15 Minutes,STOCK,2,-9.45,-0.34,50.0,1,1,1mo,2026-05-22 15:01:03
MUTHOOTFIN.NS,MUTHOOTFIN,15 Minutes,STOCK,2,-69.1,-0.99,50.0,1,1,1mo,2026-05-22 15:01:03
INFY.NS,INFY,15 Minutes,STOCK,2,-84.1,-3.53,0.0,0,2,1mo,2026-05-22 15:01:03
TCS.NS,TCS,15 Minutes,STOCK,2,-186.3,-3.76,0.0,0,2,1mo,2026-05-22 15:01:03
WIPRO.NS,WIPRO,15 Minutes,STOCK,2,-0.44,-0.11,50.0,1,1,1mo,2026-05-22 15:01:04
HCLTECH.NS,HCLTECH,15 Minutes,STOCK,1,-81.3,-6.63,0.0,0,1,1mo,2026-05-22 15:01:04
BAJAJFINSV.NS,BAJAJFINSV,15 Minutes,STOCK,2,17.4,0.49,50.0,1,1,1mo,2026-05-22 15:01:04
TECHM.NS,TECHM,15 Minutes,STOCK,2,41.3,0.98,50.0,1,1,1mo,2026-05-22 15:01:04
PNB.NS,PNB,15 Minutes,STOCK,0,0.0,0.0,0.0,0,0,1mo,2026-05-22 15:01:04
RELIANCE.NS,RELIANCE,15 Minutes,STOCK,2,-65.8,-2.37,50.0,1,1,1mo,2026-05-22 15:01:04
ONGC.NS,ONGC,15 Minutes,STOCK,1,-7.15,-1.2,0.0,0,1,1mo,2026-05-22 15:01:05
M&M.NS,M&M,15 Minutes,STOCK,3,-18.2,-0.15,66.7,2,1,1mo,2026-05-22 15:01:05
BPCL.NS,BPCL,15 Minutes,STOCK,4,11.25,0.94,75.0,3,1,1mo,2026-05-22 15:01:05
IOC.NS,IOC,15 Minutes,STOCK,4,-2.81,-0.49,25.0,1,3,1mo,2026-05-22 15:01:05
NTPC.NS,NTPC,15 Minutes,STOCK,2,8.3,1.04,50.0,1,1,1mo,2026-05-22 15:01:05
POWERGRID.NS,POWERGRID,15 Minutes,STOCK,2,-8.05,-0.87,50.0,1,1,1mo,2026-05-22 15:01:06
MARUTI.NS,MARUTI,15 Minutes,STOCK,3,286.0,0.54,66.7,2,1,1mo,2026-05-22 15:01:06
DRREDDY.NS,DRREDDY,15 Minutes,STOCK,2,16.2,0.42,50.0,1,1,1mo,2026-05-22 15:01:06
BAJAJ-AUTO.NS,BAJAJ-AUTO,15 Minutes,STOCK,3,268.0,0.91,66.7,2,1,1mo,2026-05-22 15:01:06
SUNPHARMA.NS,SUNPHARMA,15 Minutes,STOCK,2,118.2,3.39,100.0,2,0,1mo,2026-05-22 15:01:06
AXISBANK.NS,AXISBANK,15 Minutes,STOCK,3,-32.8,-0.84,66.7,2,1,1mo,2026-05-22 15:01:07
EICHERMOT.NS,EICHERMOT,15 Minutes,STOCK,4,379.0,1.08,75.0,3,1,1mo,2026-05-22 15:01:07
CIPLA.NS,CIPLA,15 Minutes,STOCK,1,-0.8,-0.06,0.0,0,1,1mo,2026-05-22 15:01:07
DIVISLAB.NS,DIVISLAB,15 Minutes,STOCK,2,258.0,1.92,100.0,2,0,1mo,2026-05-22 15:01:07
APOLLOHOSP.NS,APOLLOHOSP,15 Minutes,STOCK,2,347.0,2.22,100.0,2,0,1mo,2026-05-22 15:01:07
ITC.NS,ITC,15 Minutes,STOCK,1,3.3,0.54,100.0,1,0,1mo,2026-05-22 15:01:07
HINDUNILVR.NS,HINDUNILVR,15 Minutes,STOCK,4,166.9,1.85,100.0,4,0,1mo,2026-05-22 15:01:08
NESTLEIND.NS,NESTLEIND,15 Minutes,STOCK,1,-4.6,-0.32,0.0,0,1,1mo,2026-05-22 15:01:08
HINDALCO.NS,HINDALCO,15 Minutes,STOCK,3,56.1,1.79,100.0,3,0,1mo,2026-05-22 15:01:08
BRITANNIA.NS,BRITANNIA,15 Minutes,STOCK,2,25.0,0.15,50.0,1,1,1mo,2026-05-22 15:01:08
TATASTEEL.NS,TATASTEEL,15 Minutes,STOCK,4,1.68,0.2,75.0,3,1,1mo,2026-05-22 15:01:08
COALINDIA.NS,COALINDIA,15 Minutes,STOCK,1,-10.0,-2.11,0.0,0,1,1mo,2026-05-22 15:01:08
JSWSTEEL.NS,JSWSTEEL,15 Minutes,STOCK,2,53.1,1.4,100.0,2,0,1mo,2026-05-22 15:01:09
LT.NS,LT,15 Minutes,STOCK,1,66.8,0.84,100.0,1,0,1mo,2026-05-22 15:01:09
BHARTIARTL.NS,BHARTIARTL,15 Minutes,STOCK,2,4.0,0.07,50.0,1,1,1mo,2026-05-22 15:01:11
CDSL.NS,CDSL,15 Minutes,STOCK,2,-85.3,-3.31,0.0,0,2,1mo,2026-05-22 15:01:12
ADANIGREEN.NS,ADANIGREEN,15 Minutes,STOCK,4,232.3,4.57,100.0,4,0,1mo,2026-05-22 15:01:12
ADANIPORTS.NS,ADANIPORTS,15 Minutes,STOCK,4,224.8,3.38,100.0,4,0,1mo,2026-05-22 15:01:13
HEROMOTOCO.NS,HEROMOTOCO,15 Minutes,STOCK,3,193.0,0.95,66.7,2,1,1mo,2026-05-22 15:01:14
SIEMENS.NS,SIEMENS,15 Minutes,STOCK,1,-145.8,-3.86,0.0,0,1,1mo,2026-05-22 15:01:16
VEDL.NS,VEDL,15 Minutes,STOCK,3,31.7,1.92,66.7,2,1,1mo,2026-05-22 15:01:16
BSE.NS,BSE,15 Minutes,STOCK,3,247.9,2.28,100.0,3,0,1mo,2026-05-22 15:01:17
